village,interview_date,quest_no,start,end,province,district,ward,years_farm,agr_assoc,no_membrs,_members_count,remittance_money,years_liv,parents_liv,sp_parents_liv,grand_liv,sp_grand_liv,respondent_roof_type,respondent_wall_type,respondent_wall_type_other,respondent_floor_type,window_type,buildings_in_compound,rooms,other_buildings,no_plots,plots_count,water_use,no_group_count,yes_group_count,no_enough_water,months_no_water,period_use,exper_other,other_meth,res_change,memb_assoc,resp_assoc,fees_water,affect_conflicts,need_money,money_source,money_source_other,crops_contr,emply_lab,du_labour,liv_owned,liv_owned_other,liv_count,poultry,du_look_aftr_cows,items_owned,items_owned_other,no_meals,months_lack_food,no_food_mitigation,gps_Latitude,gps_Longitude,gps_Altitude,gps_Accuracy,instanceID
Ruaca,2016-11-21T00:00:00Z,26,2017-04-04T04:30:19.000Z,2017-04-04T04:44:19.000Z,Manica,Manica,Bandula,2,yes,3,3,no,20,yes,yes,yes,yes,mabatisloping,burntbricks,NULL,earth,no,2,2,no,2,2,yes,NULL,2,yes,Oct;Nov,2,yes,no,NULL,no,NULL,no,never,no,NULL,NULL,abt_half,yes,yes,oxen;cows,NULL,2,yes,no,radio;cow_plough;table;mobile_phone,NULL,2,none,na,-19.11230411,33.48354341,706,12,uuid:1c54ee24-22c4-4ee9-b1ad-42d483c08e2e
Ruaca,2016-11-21T00:00:00Z,29,2017-04-05T05:37:30.000Z,2017-04-05T06:05:44.000Z,Manica,Manica,Bandula,10,yes,7,7,no,10,yes,no,yes,no,mabatisloping,burntbricks,NULL,earth,no,1,2,yes,3,3,yes,NULL,3,yes,Sept;Oct;Nov,4,yes,yes,less_work,yes,yes,no,frequently,no,NULL,NULL,more_half,no,no,goats,NULL,1,yes,no,motorcyle;bicycle;radio;table;mobile_phone,NULL,3,Jan;Feb,rely_less_food;limit_variety,-19.04302413,33.40507276,657,6,uuid:adcd7463-8943-4c67-b25f-f72311409476
Chirodzo,2016-11-17T00:00:00Z,34,2017-04-05T16:00:47.000Z,2017-04-05T16:21:59.000Z,Manica,Manica,Bandula,18,yes,8,8,no,18,no,no,no,no,mabatisloping,burntbricks,NULL,cement,yes,2,3,yes,2,2,yes,NULL,2,yes,Oct;Nov,2,yes,no,NULL,yes,no,no,more_once,no,NULL,NULL,more_half,no,no,oxen;cows;goats,NULL,3,yes,no,television;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,NULL,2,Jan;Dec,rely_less_food;limit_variety;limit_portion;restrict_adults;lab_ex_food,-19.11219065,33.48341559,706,11,uuid:14c78c45-a7cc-4b2a-b765-17c82b43feb4
Chirodzo,2016-11-17T00:00:00Z,36,2017-04-05T16:50:48.000Z,2017-04-05T17:10:53.000Z,Manica,Manica,Bandula,23,yes,6,6,no,23,no,no,no,no,mabatisloping,sunbricks,NULL,earth,no,1,1,no,3,3,yes,NULL,3,no,NULL,23,yes,no,NULL,yes,no,no,once,no,NULL,NULL,abt_half,yes,yes,oxen;cows;pigs,NULL,3,no,no,cow_cart;bicycle;radio;cow_plough;solar_panel;mobile_phone,NULL,3,none,na,-19.11218058,33.4833843,710,10,uuid:c90eade0-1148-4a12-8c0e-6387a36f45b1
Chirodzo,2016-11-17T00:00:00Z,37,2017-04-05T17:17:48.000Z,2017-04-05T17:26:51.000Z,Manica,Manica,Bandula,8,no,3,3,no,8,yes,yes,no,no,mabatisloping,burntbricks,NULL,earth,no,3,1,no,1,1,no,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,no,no,oxen;cows,NULL,2,yes,no,bicycle;television;radio;cow_plough;solar_panel;solar_torch;mobile_phone,NULL,3,Jan;Nov;Dec,rely_less_food;limit_variety;lab_ex_food,-19.11217951,33.48339525,711,12,uuid:408c6c93-d723-45ef-8dee-1b1bd3fe20cd
God,2016-11-17T00:00:00Z,39,2017-04-06T08:31:17.000Z,2017-04-06T08:44:47.000Z,Manica,Manica,Bandula,22,yes,6,6,no,22,yes,yes,yes,yes,mabatisloping,muddaub,NULL,earth,no,,1,no,1,1,no,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,no,no,oxen,NULL,1,yes,no,NULL,NULL,3,Nov,lab_ex_food,-19.0433618,33.4046671,0,20,uuid:c0fb6310-55af-4831-ae3d-2729556c3285
Chirodzo,2016-11-17T00:00:00Z,46,2017-04-06T15:19:41.000Z,2017-04-06T15:45:32.000Z,Manica,Manica,Bandula,21,yes,10,10,no,42,yes,yes,yes,yes,mabatisloping,burntbricks,NULL,cement,no,3,2,no,5,5,yes,NULL,5,yes,Aug;Sept;Oct,21,yes,no,NULL,no,NULL,no,once,no,NULL,NULL,more_half,yes,no,oxen;poultry,NULL,2,no,no,motorcyle;computer;television;sterio;solar_panel;solar_torch;table;mobile_phone,NULL,2,Sept;Oct;Nov,lab_ex_food,-19.04307032,33.40458421,703,5,uuid:35f297e0-aa5d-4149-9b7b-4965004cfc37
Chirodzo,2016-11-16T00:00:00Z,49,2017-04-07T14:43:09.000Z,2017-04-07T14:55:51.000Z,Manica,Manica,Bandula,12,no,6,6,no,26,yes,yes,yes,yes,mabatisloping,burntbricks,NULL,earth,yes,2,2,no,1,1,no,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,no,yes,goats;poultry,NULL,2,yes,no,bicycle;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,NULL,3,Jan;Nov;Dec,reduce_meals;go_forest;lab_ex_food,-19.11228265,33.48334844,694,12,uuid:2303ebc1-2b3c-475a-8916-b322ebf18440
Chirodzo,2016-11-16T00:00:00Z,52,2017-04-08T04:44:09.000Z,2017-04-08T05:02:58.000Z,Manica,Manica,Bandula,15,yes,11,11,no,15,no,no,no,no,mabatisloping,burntbricks,NULL,cement,yes,1,3,yes,1,1,yes,NULL,1,yes,Sept;Oct;Nov,15,no,no,NULL,no,NULL,no,never,no,NULL,NULL,less_half,no,no,oxen;cows;poultry,NULL,3,yes,no,motorcyle;television;radio;cow_plough;solar_panel;mobile_phone,NULL,3,Aug;Sept;Oct;Nov,limit_variety;reduce_meals,-19.11223637,33.48335287,694,10,uuid:6db55cb4-a853-4000-9555-757b7fae2bcf
Chirodzo,2016-11-16T00:00:00Z,21,2017-04-08T05:03:08.000Z,2017-04-08T05:33:51.000Z,Manica,Manica,Bandula,16,yes,8,8,yes,16,yes,yes,yes,yes,mabatisloping,burntbricks,NULL,cement,no,dcg,3,no,3,3,yes,NULL,3,yes,Aug;Sept;Oct,16,yes,no,NULL,yes,no,no,frequently,no,NULL,NULL,more_half,no,no,oxen;goats,NULL,2,yes,no,bicycle;radio;mobile_phone,NULL,2,Nov,rely_less_food;limit_portion,-19.11216571,33.48343865,687,10,uuid:cc7f75c5-d13e-43f3-97e5-4f4c03cb4b12
Chirodzo,2016-11-16T00:00:00Z,56,2017-04-08T06:05:59.000Z,2017-04-08T06:26:12.000Z,Manica,Manica,Bandula,23,yes,12,12,no,23,yes,yes,yes,yes,mabatisloping,burntbricks,NULL,cement,no,4,2,no,2,2,yes,NULL,2,yes,Sept;Oct,23,yes,no,NULL,yes,no,no,never,no,NULL,NULL,more_half,no,no,oxen;goats,NULL,2,yes,no,motorcyle;bicycle;mobile_phone,NULL,3,none,na,-19.11217264,33.48341837,689,10,uuid:973c4ac6-f887-48e7-aeaf-4476f2cfab76
Chirodzo,2016-11-16T00:00:00Z,58,2017-04-08T08:25:49.000Z,2017-04-08T08:48:51.000Z,Manica,Manica,Bandula,35,yes,11,11,no,45,yes,yes,yes,yes,mabatisloping,burntbricks,NULL,earth,no,5,3,no,3,3,yes,NULL,3,no,NULL,35,yes,no,NULL,no,NULL,no,never,no,NULL,NULL,more_half,no,no,oxen;cows;goats,NULL,3,no,no,motorcyle;bicycle;television;radio;cow_plough;solar_panel;mobile_phone,NULL,2,none,na,-19.1121758,33.48332076,723,11,uuid:a7a3451f-cd0d-4027-82d9-8dcd1234fcca
Chirodzo,2016-11-16T00:00:00Z,65,2017-04-08T14:02:49.000Z,2017-04-08T14:15:45.000Z,Manica,Manica,Bandula,20,no,8,8,no,20,no,no,no,no,mabatisloping,burntbricks,NULL,earth,no,2,3,no,2,2,yes,NULL,2,yes,Sept;Oct;Nov,20,yes,no,NULL,no,NULL,no,once,no,NULL,NULL,abt_half,no,no,oxen;cows;goats,NULL,3,yes,no,motorcyle;radio;cow_plough;table,NULL,3,Jan;Feb;Mar,rely_less_food;limit_variety;reduce_meals;lab_ex_food,-19.11221474,33.48341209,706,39,uuid:143f7478-0126-4fbc-86e0-5d324339206b
Ruaca,2016-11-23T00:00:00Z,133,2017-04-09T05:27:46.000Z,2017-04-09T05:43:51.000Z,Manica,Manica,Bandula,2,no,5,5,yes,25,no,no,no,no,mabatisloping,burntbricks,NULL,earth,no,1,2,yes,1,1,yes,NULL,1,yes,Nov,2,yes,no,NULL,no,NULL,no,never,no,NULL,NULL,abt_half,no,yes,oxen;cows;goats;sheep;poultry,NULL,5,yes,no,cow_cart;car;lorry;motorcyle;bicycle;television;sterio;cow_plough;solar_panel;solar_torch;electricity;table;sofa_set;mobile_phone;fridge,NULL,3,Jan;Oct;Nov,na,-19.1041288,33.4777622,0,2099.999,uuid:429d279a-a519-4dcc-9f64-4673b0fd5d53
Ruaca,2016-11-25T00:00:00Z,178,2017-04-09T06:54:49.000Z,2017-04-09T07:14:16.000Z,Manica,Manica,Bandula,20,yes,5,5,no,79,yes,yes,yes,no,mabatisloping,burntbricks,NULL,earth,no,1,2,yes,3,3,yes,NULL,3,yes,Oct;Nov,20,yes,no,NULL,yes,yes,no,frequently,no,NULL,NULL,abt_half,yes,yes,oxen;cows;goats,NULL,3,no,no,radio;cow_plough;solar_panel;mobile_phone,NULL,3,none,na,-19.1123581,33.48355586,714,50,uuid:2186e2ec-f65a-47cc-9bc1-a0f36dd9591c
God,2016-11-28T00:00:00Z,196,2017-04-09T18:00:41.000Z,2017-04-09T18:31:40.000Z,Manica,Manica,Bandula,21,yes,7,7,no,49,yes,yes,yes,yes,mabatisloping,burntbricks,NULL,earth,no,2,2,no,2,2,yes,NULL,2,yes,Oct;Nov,21,yes,no,NULL,yes,no,no,more_once,no,NULL,NULL,more_half,no,no,oxen;cows;goats,NULL,3,yes,no,radio;cow_plough;mobile_phone,NULL,3,none,na,-19.11220357,33.48340018,694,10,uuid:44e427d1-a448-4bf2-b529-7d67b2266c06
God,2016-11-28T00:00:00Z,197,2017-04-09T18:32:09.000Z,2017-04-09T19:14:52.000Z,Manica,Manica,Bandula,11,no,5,5,yes,19,yes,yes,no,no,mabatisloping,burntbricks,NULL,cement,yes,1,2,no,2,2,yes,NULL,2,yes,Aug;Sept;Oct;Nov,11,yes,no,NULL,no,NULL,no,more_once,no,NULL,NULL,more_half,yes,no,oxen;cows;goats,NULL,3,yes,yes,bicycle;television;radio;cow_plough;solar_torch;table;mobile_phone,NULL,2,Nov,rely_less_food;limit_variety;reduce_meals,-19.11218716,33.4833828,714,11,uuid:85c99fd2-775f-40c9-8654-68223f59d091
God,2016-11-17T00:00:00Z,202,2017-04-09T19:48:09.000Z,2017-04-09T20:08:15.000Z,Manica,Manica,Bandula,12,yes,12,12,no,12,no,no,no,no,mabatisloping,burntbricks,NULL,cement,no,2,4,yes,2,2,yes,NULL,2,yes,Aug;Sept;Oct;Nov;Dec,9,yes,no,NULL,yes,no,no,more_once,no,NULL,NULL,more_half,no,yes,oxen;cows;goats,NULL,3,yes,no,cow_cart;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,NULL,3,Jan;Feb;Mar;Oct;Nov;Dec,rely_less_food;limit_variety;reduce_meals;restrict_adults;lab_ex_food,-19.11218863,33.48340466,705,5,uuid:06d39051-38ef-4757-b68b-3327b1f16b9d
Ruaca,2017-04-26T00:00:00Z,73,2017-04-26T16:13:50.000Z,2017-04-26T16:45:01.000Z,Manica,Manica,Bandula,6,yes,7,7,no,9,yes,no,no,no,mabatisloping,burntbricks,NULL,cement,no,2,2,no,3,3,yes,NULL,3,yes,Sept;Oct;Nov,4,yes,yes,cheaper;less_work;train_outside_org,yes,no,no,more_once,no,NULL,NULL,more_half,yes,no,oxen;cows;goats,NULL,3,yes,no,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;table;mobile_phone,NULL,3,Jan;Sept;Oct,rely_less_food;limit_variety,-19.11219747,33.48341488,714,4,uuid:ac3da862-9e6c-4962-94b6-f4c31624f207
Ruaca,2017-04-27T00:00:00Z,83,2017-04-27T12:27:31.000Z,2017-04-27T12:56:42.000Z,Manica,Manica,Bandula,17,yes,5,5,no,22,no,no,no,no,mabatisloping,burntbricks,NULL,earth,no,2,1,no,2,2,yes,NULL,2,yes,Aug;Sept;Oct,17,yes,no,NULL,yes,no,no,never,no,NULL,NULL,abt_half,no,no,oxen;cows,NULL,2,no,no,radio;cow_plough;solar_torch,NULL,2,Aug;Sept;Oct,borrow_food;lab_ex_food,-19.11231638,33.48349754,693,33,uuid:a1e9df00-c8ae-411c-931c-c7df898c68d0
God,2017-04-27T00:00:00Z,89,2017-04-27T16:11:23.000Z,2017-04-27T16:41:41.000Z,Manica,Manica,Bandula,10,no,5,5,no,10,yes,yes,no,yes,mabatisloping,burntbricks,NULL,cement,yes,2,2,yes,2,2,yes,NULL,2,yes,Sept;Oct,10,no,no,NULL,no,NULL,no,never,no,NULL,NULL,less_half,no,yes,oxen;cows;goats,NULL,3,no,no,bicycle;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,NULL,3,Oct;Nov,rely_less_food;limit_variety;go_forest;lab_ex_food,-19.11231667,33.48348329,710,13,uuid:b3b309c6-f234-4830-8b30-87d26a17ee1d
Ruaca,2017-04-27T00:00:00Z,103,2017-04-27T17:38:53.000Z,2017-04-27T18:09:45.000Z,Manica,Manica,Bandula,50,no,6,6,no,96,yes,yes,yes,yes,mabatisloping,sunbricks,NULL,earth,no,2,1,no,2,2,yes,NULL,2,yes,Aug;Sept;Oct;Nov,10,yes,no,NULL,no,NULL,no,never,no,NULL,NULL,less_half,yes,no,oxen;cows;goats;pigs;poultry,NULL,5,yes,no,cow_cart;cow_plough;solar_panel;sofa_set;mobile_phone,NULL,3,Jan;Feb;Dec,go_forest,-19.11219049,33.48337002,712,9,uuid:e9d79844-ef14-493b-bbd6-d13691cc660e
Ruaca,2017-04-28T00:00:00Z,102,2017-04-28T06:27:07.000Z,2017-04-28T06:52:04.000Z,Manica,Manica,Bandula,15,yes,12,12,no,15,no,no,no,no,mabatisloping,burntbricks,NULL,earth,no,3,2,no,2,2,yes,NULL,2,yes,Aug;Sept;Oct,2,yes,no,NULL,yes,yes,no,frequently,no,NULL,NULL,less_half,no,yes,cows;goats,NULL,2,no,no,cow_plough;table;sofa_set;mobile_phone,NULL,3,Jan;Feb,lab_ex_food,-19.04413333,33.40388996,691,11,uuid:76206b0b-af74-4344-b24f-81e839f0d7b0
Ruaca,2017-04-28T00:00:00Z,105,2017-04-28T15:32:38.000Z,2017-04-28T15:58:10.000Z,Manica,Manica,Bandula,20,yes,6,6,no,40,yes,no,yes,no,mabatisloping,sunbricks,NULL,earth,no,2,1,no,2,2,yes,NULL,2,yes,Aug;Sept;Oct;Nov,1,yes,no,NULL,yes,yes,no,frequently,no,NULL,NULL,more_half,no,yes,cows;poultry,NULL,2,yes,yes,motorcyle;radio;cow_plough;solar_panel;mobile_phone,NULL,3,Jan;Feb;Dec,lab_ex_food,-19.11221203,33.48350526,735,11,uuid:af0904ee-4fdb-4090-973f-599c81ddf022
God,2017-04-30T00:00:00Z,106,2017-04-30T05:51:18.000Z,2017-04-30T06:47:01.000Z,Manica,Manica,Bandula,22,yes,15,15,no,22,no,no,no,no,mabatisloping,sunbricks,NULL,cement,yes,4,5,yes,5,5,yes,NULL,5,yes,Aug;Sept;Oct;Nov,21,yes,no,NULL,no,NULL,no,never,no,NULL,NULL,more_half,yes,no,oxen;cows,NULL,2,yes,no,cow_cart;motorcyle;bicycle;radio;sterio;cow_plough;solar_panel;solar_torch;table;mobile_phone,NULL,3,Oct;Nov;Dec,lab_ex_food;seek_government,-19.11220965,33.48340866,709,5,uuid:468797c1-4a65-4f35-9c83-e28ce46972a2
Ruaca,2017-05-03T00:00:00Z,110,2017-05-03T13:37:57.000Z,2017-05-03T13:58:06.000Z,Manica,Manica,Bandula,22,no,6,6,no,22,yes,yes,yes,yes,mabatisloping,sunbricks,NULL,cement,no,2,3,yes,3,3,yes,NULL,3,yes,Aug;Sept;Oct;Nov,22,yes,no,NULL,no,NULL,no,never,no,NULL,NULL,abt_half,no,no,oxen;cows;goats,NULL,3,yes,no,bicycle;radio;cow_plough;table;mobile_phone,NULL,2,none,na,-19.11219756,33.48339714,704,9,uuid:e7c51ac4-24e4-475e-88e7-f85e896945e3
Ruaca,2017-05-03T00:00:00Z,113,2017-05-03T14:00:13.000Z,2017-05-03T14:27:03.000Z,Manica,Manica,Bandula,16,no,11,11,yes,26,yes,no,no,no,mabatisloping,burntbricks,NULL,cement,no,2,3,yes,3,3,yes,NULL,3,yes,Sept;Oct,2,yes,no,NULL,no,NULL,no,never,no,NULL,NULL,less_half,yes,no,oxen;cows;goats;poultry,NULL,4,no,no,cow_cart;motorcyle;bicycle;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,NULL,3,none,na,-19.11222682,33.48340708,706,12,uuid:01210861-aba1-4268-98d0-0260e05f5155
Ruaca,2017-05-04T00:00:00Z,125,2017-05-04T10:47:05.000Z,2017-05-04T11:16:05.000Z,Manica,Manica,Bandula,7,yes,5,5,no,14,no,yes,no,yes,mabatisloping,burntbricks,NULL,earth,no,1,1,no,3,3,yes,NULL,3,yes,Aug;Sept;Oct;Nov,3,yes,yes,less_work,no,NULL,no,more_once,no,NULL,NULL,less_half,yes,yes,oxen;cows,NULL,2,no,yes,bicycle;radio;cow_plough;solar_panel;solar_torch;mobile_phone,NULL,3,Jan;Sept;Oct;Nov;Dec,borrow_food;lab_ex_food,-19.11218005,33.4834101,682,11,uuid:02b05c68-302e-4e7a-b229-81cb1377fd29
Ruaca,2017-05-11T00:00:00Z,115,2017-05-11T05:24:25.000Z,2017-05-11T05:41:56.000Z,Manica,Manica,Bandula,16,no,4,4,no,16,yes,yes,no,no,mabatisloping,sunbricks,NULL,cement,no,abc,2,yes,2,2,no,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,yes,no,oxen;cows;goats,NULL,3,yes,no,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,NULL,3,none,na,-19.1114691,33.4761047,0,20,uuid:628fe23d-188f-43e4-a203-a4bf3257d461
God,2017-05-11T00:00:00Z,108,2017-05-11T05:42:08.000Z,2017-05-11T06:08:58.000Z,Manica,Manica,Bandula,22,no,15,15,no,22,no,yes,no,yes,mabatisloping,burntbricks,NULL,cement,no,3,2,yes,3,3,yes,NULL,3,yes,Sept;Oct;Nov,16,yes,no,NULL,no,NULL,no,never,no,NULL,NULL,abt_half,no,no,oxen;cows;goats;poultry,NULL,4,yes,no,cow_cart;bicycle;radio;cow_plough;solar_panel;table;mobile_phone,NULL,3,Aug;Sept;Oct;Nov,rely_less_food;limit_portion;reduce_meals,-19.1114691,33.4761047,0,20,uuid:e4f4d6ba-e698-45a5-947f-ba6da88cc22b
Ruaca,2017-05-18T00:00:00Z,144,2017-05-18T04:36:23.000Z,2017-05-18T05:02:38.000Z,Manica,Manica,Bandula,5,no,7,7,no,5,yes,yes,yes,yes,mabatisloping,burntbricks,NULL,cement,no,3,4,no,2,2,yes,NULL,2,yes,Sept;Oct;Nov,5,yes,no,NULL,no,NULL,yes,frequently,yes,['farming'],NULL,abt_half,no,no,oxen;cows;goats;sheep,NULL,4,yes,no,cow_cart;television;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,NULL,2,none,na,-19.11218801,33.48342233,710,5,uuid:0670cef6-d233-4852-89d8-36955261b0a3
God,2017-06-03T00:00:00Z,160,2017-06-03T05:08:49.000Z,2017-06-03T05:32:19.000Z,Manica,Manica,Bandula,3,yes,7,7,no,13,yes,yes,yes,yes,mabatisloping,burntbricks,NULL,earth,no,2,2,no,3,3,yes,NULL,3,yes,Jan;Dec,3,yes,no,NULL,yes,yes,no,frequently,no,NULL,NULL,more_half,yes,yes,oxen;cows,NULL,2,yes,no,cow_cart;cow_plough;solar_torch;mobile_phone,NULL,2,Nov,lab_ex_food,-19.11218456,33.4834495,711,12,uuid:f22831ec-6bc3-4b73-9197-4b01e01abb66
